Title,Author,Rating
The Wit and Wisdom of Lee Kuan Yew,"Yew, Lee Kuan",4.27
"Lee Kuan Yew: The Grand Master's Insights on China, the United States, and the World","Allison, Graham",4.26
"Hero of the Empire: The Boer War, a Daring Escape, and the Making of Winston Churchill","Millard, Candice",4.08
Whatever It Takes: Geoffrey Canada's Quest to Change Harlem and America,"Tough, Paul",4.15
The Undoing Project: A Friendship That Changed Our Minds,"Lewis, Michael",3.98
Bayes Theorem: A Visual Introduction For Beginners,"Morris, Dan",3.89
Essentialism: The Disciplined Pursuit of Less,"McKeown, Greg",4.07
The Lessons of History,"Durant, Will",4.08
River Out of Eden: A Darwinian View of Life,"Dawkins, Richard",3.98
The Hero With a Thousand Faces,"Campbell, Joseph",4.14
The Essential Alan Watts,"Watts, Alan W.",4.49
The Selfish Gene,"Dawkins, Richard",4.15
The Purpose Driven Life: What on Earth Am I Here for?,"Warren, Rick",3.96
"I, Robot
        (Robot, #0.1)","Asimov, Isaac",4.21
The Art of Happiness,Dalai Lama XIV,4.17
Narrative of the Life of Frederick Douglass,"Douglass, Frederick",4.1
Cosmos,"Sagan, Carl",4.39
American Psycho,"Ellis, Bret Easton",3.81
Do Androids Dream of Electric Sheep?,"Dick, Philip K.",4.09
"The Power of One
        (The Power of One, #1)","Courtenay, Bryce",4.34
Common Sense,"Paine, Thomas",3.99
The Communist Manifesto,"Marx, Karl",3.64
Beowulf,"Heaney, Seamus",3.47
A Walk in the Woods: Rediscovering America on the Appalachian Trail,"Bryson, Bill",4.06
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values
        (Phaedrus, #1)","Pirsig, Robert M.",3.78
The Iliad / The Odyssey,Homer,4.06
How to Win Friends and Influence People,"Carnegie, Dale",4.22
The Tao of Pooh,"Hoff, Benjamin",4
The God Delusion,"Dawkins, Richard",3.9
Cat's Cradle,"Vonnegut Jr., Kurt",4.16
A Short History of Nearly Everything,"Bryson, Bill",4.21
The Complete Fairy Tales,"Andersen, Hans Christian",4.29
A People's History of the United States,"Zinn, Howard",4.07
The Autobiography of Malcolm X,"X, Malcolm",4.35
Into the Wild,"Krakauer, Jon",4
Their Eyes Were Watching God,"Hurston, Zora Neale",3.97
The Origin of Species,"Darwin, Charles",4
"The Godfather
        (The Godfather, #1)","Puzo, Mario",4.38
The Art of War,Sun Tzu,3.96
Gulliver's Travels: Travels into Several Remote Nations of the World.,"Swift, Jonathan",3.58
The Glass Castle,"Walls, Jeannette",4.31
Jonathan Livingston Seagull,"Bach, Richard",3.85
"The Three Musketeers
        (The D'Artagnan Romances, #1)","Dumas, Alexandre",4.09
The Last Lecture,"Pausch, Randy",4.26
Where the Red Fern Grows,"Rawls, Wilson",4.1
Brave New World,"Huxley, Aldous",3.99
"The Da Vinci Code
        (Robert Langdon, #2)","Brown, Dan",3.9
Don Quixote,"Cervantes Saavedra, Miguel de",3.89
War and Peace,"Tolstoy, Leo",4.15
A Tale of Two Cities,"Dickens, Charles",3.86
The Grapes of Wrath,"Steinbeck, John",4
The Odyssey,Homer,3.8
Of Mice and Men,"Steinbeck, John",3.88
The Catcher in the Rye,"Salinger, J.D.",3.8
1984,"Orwell, George",4.19
"Gödel, Escher, Bach: An Eternal Golden Braid","Hofstadter, Douglas R.",4.29
Being and Time,"Heidegger, Martin",4.04
The Bhagavad Gita,"Vyasa, Krishna-Dwaipayana",4.17
A Man Called Ove,"Backman, Fredrik",4.38
Beyond Good and Evil,"Nietzsche, Friedrich",4.02
Meditations,Marcus Aurelius,4.27
"The Bully Pulpit: Theodore Roosevelt, William Howard Taft, and the Golden Age of Journalism","Goodwin, Doris Kearns",4.12
Steve Jobs,"Isaacson, Walter",4.16
